layer	p	coverage	cumulative_entropy	accuracy	precision	recall	num_steps	lr	momentum
conv2	0.0503	0.2262	50.7942	0.6998	0.6993	0.6998	11710.0000	0.0100	0.9000
conv2	0.0750	0.1135	49.7043	0.6938	0.6950	0.6938	11210.0000	0.0100	0.9000
conv2	0.0660	0.2120	50.0188	0.6915	0.6930	0.6915	11910.0000	0.0100	0.9000
conv2	0.1225	0.1605	51.0625	0.6913	0.6969	0.6913	7710.0000	0.0100	0.9000
conv2	0.0834	0.1958	50.7807	0.6906	0.6938	0.6906	8410.0000	0.0100	0.9000
conv2	0.1344	0.2307	50.4901	0.6892	0.6875	0.6892	8010.0000	0.0100	0.9000
conv2	0.0707	0.1228	50.5601	0.6889	0.6882	0.6889	8510.0000	0.0100	0.9000
conv2	0.1830	0.1097	49.6805	0.6887	0.6886	0.6887	8910.0000	0.0100	0.9000
conv2	0.0544	0.0476	49.1627	0.6883	0.6868	0.6883	7510.0000	0.0100	0.9000
conv2	0.0961	0.1398	50.8735	0.6881	0.6922	0.6881	7910.0000	0.0100	0.9000
conv2	0.0525	0.1056	48.8769	0.6881	0.6888	0.6881	10810.0000	0.0100	0.9000
conv2	0.0511	0.2001	51.4199	0.6868	0.6854	0.6868	10110.0000	0.0100	0.9000
conv2	0.0623	0.0701	50.1889	0.6867	0.6951	0.6867	11310.0000	0.0100	0.9000
conv2	0.0574	0.1177	50.4699	0.6866	0.6896	0.6866	7810.0000	0.0100	0.9000
fc1	0.2096	0.0562	50.8343	0.6864	0.6869	0.6864	7810.0000	0.0100	0.9000
conv2	0.1456	0.0856	50.3892	0.6862	0.6859	0.6862	6610.0000	0.0100	0.9000
conv2	0.0611	0.0572	56.2317	0.6862	0.6856	0.6862	7810.0000	0.0100	0.9000
conv2	0.1235	0.0570	51.8605	0.6861	0.6836	0.6861	12010.0000	0.0100	0.9000
fc1	0.0777	0.1821	49.4376	0.6859	0.6841	0.6859	7710.0000	0.0100	0.9000
conv2	0.0500	0.2313	51.4334	0.6859	0.6870	0.6859	8910.0000	0.0100	0.9000
