layer	p	coverage	cumulative_entropy	accuracy	precision	recall	num_steps	lr	momentum
conv1	0.0589	0.0313	57.0480	0.6904	0.6887	0.6904	10410	0.0100	0.9000
conv1	0.0739	0.0319	56.9743	0.6897	0.6872	0.6897	13010	0.0100	0.9000
conv1	0.0625	0.0301	57.0584	0.6880	0.6864	0.6880	14610	0.0100	0.9000
conv1	0.0506	0.0342	56.9395	0.6879	0.6873	0.6879	14810	0.0100	0.9000
conv1	0.0614	0.0351	57.0658	0.6862	0.6828	0.6862	5210	0.0100	0.9000
conv1	0.0662	0.0403	56.9293	0.6846	0.6828	0.6846	11910	0.0100	0.9000
conv1	0.0740	0.0422	57.0344	0.6845	0.6856	0.6845	13410	0.0100	0.9000
conv1	0.0607	0.0309	56.9744	0.6845	0.6848	0.6845	15510	0.0100	0.9000
conv1	0.0943	0.0562	56.1636	0.6827	0.6810	0.6827	11310	0.0100	0.9000
conv	0.0755	0.0472	56.1088	0.6826	0.6811	0.6826	11110	0.0100	0.9000
conv1	0.0701	0.0980	56.8835	0.6816	0.6793	0.6816	13610	0.0100	0.9000
conv1	0.0573	0.0636	56.1632	0.6807	0.6789	0.6807	37410	0.0100	0.9000
conv	0.0760	0.0377	56.4269	0.6796	0.6790	0.6796	5310	0.0100	0.9000
conv1	0.0664	0.0358	56.3845	0.6792	0.6767	0.6792	6810	0.0100	0.9000
conv1	0.0820	0.0774	56.8491	0.6789	0.6784	0.6789	8610	0.0100	0.9000
conv1	0.0778	0.0807	56.9468	0.6787	0.6770	0.6787	7910	0.0100	0.9000
conv	0.0688	0.0309	56.4209	0.6783	0.6767	0.6783	5410	0.0100	0.9000
conv1	0.0713	0.0689	56.9804	0.6780	0.6749	0.6780	22010	0.0100	0.9000
conv	0.0679	0.0595	56.0602	0.6778	0.6759	0.6778	12010	0.0100	0.9000
conv1	0.0691	0.0621	56.6240	0.6775	0.6742	0.6775	7810	0.0100	0.9000
