layer	layer_modifier	p	coverage	cumulative_entropy	accuracy	num_steps	lr	momentum
none	none	0.0000	0.0000	23.6703	0.9578	21310	0.0500	0.7500
none	none	0.0000	0.0000	23.7529	0.9578	194510	0.0500	0.7500
none	none	0.0000	0.0000	24.4795	0.9578	39310	0.0500	0.7500
none	none	0.0000	0.0000	23.6710	0.9578	17010	0.0500	0.7500
none	none	0.0000	0.0000	24.5058	0.9578	30910	0.0500	0.7500
none	none	0.0000	0.0000	23.6803	0.9578	33010	0.0500	0.7500
none	none	0.0000	0.0000	24.5311	0.9577	108410	0.0500	0.7500
none	none	0.0000	0.0000	23.6496	0.9577	16410	0.0500	0.7500
none	none	0.0000	0.0000	23.7116	0.9577	23910	0.0500	0.7500
none	none	0.0000	0.0000	24.9806	0.9577	578000	0.0500	0.7500
lstm1	cell	0.0500	0.0300	24.5143	0.9576	173210	0.0500	0.7500
lstm1	cell	0.0502	0.0301	23.7707	0.9575	193910	0.0500	0.7500
lstm1	cell	0.0576	0.0411	24.3468	0.9575	15110	0.0500	0.7500
lstm1	cell	0.0500	0.0354	24.5730	0.9575	36710	0.0500	0.7500
lstm1	cell	0.0628	0.0303	24.3761	0.9574	15710	0.0500	0.7500
lstm1	forget	0.0518	0.0302	23.8994	0.9574	15610	0.0500	0.7500
lstm1	cell	0.0806	0.0303	24.2450	0.9574	174510	0.0500	0.7500
lstm1	input	0.0518	0.0414	24.1123	0.9574	15210	0.0500	0.7500
lstm1	cell	0.0520	0.0301	24.0931	0.9574	21210	0.0500	0.7500
lstm1	cell	0.0542	0.0300	24.1112	0.9574	34410	0.0500	0.7500
