layer	layer_modifier	p	coverage	cumulative_entropy	accuracy	num_steps	lr	momentum
none	none	0.0000	0.0000	23.6703	0.9578	21310	0.0500	0.7500
none	none	0.0000	0.0000	23.7529	0.9578	194510	0.0500	0.7500
none	none	0.0000	0.0000	24.4795	0.9578	39310	0.0500	0.7500
none	none	0.0000	0.0000	23.6710	0.9578	17010	0.0500	0.7500
none	none	0.0000	0.0000	24.5058	0.9578	30910	0.0500	0.7500
none	none	0.0000	0.0000	23.6803	0.9578	33010	0.0500	0.7500
none	none	0.0000	0.0000	24.5311	0.9577	108410	0.0500	0.7500
none	none	0.0000	0.0000	23.6496	0.9577	16410	0.0500	0.7500
none	none	0.0000	0.0000	23.7116	0.9577	23910	0.0500	0.7500
none	none	0.0000	0.0000	24.9806	0.9577	578000	0.0500	0.7500
lstm1	output	0.4000	0.1526	13.1718	0.9559	18810	0.0500	0.7500
lstm1	cell	0.3999	0.2574	9.9297	0.9559	20210	0.0500	0.7500
lstm1	output	0.3999	0.1373	10.6525	0.9559	20510	0.0500	0.7500
lstm1	input	0.3998	0.2571	11.5072	0.9559	22610	0.0500	0.7500
lstm1	output	0.3997	0.2619	13.2282	0.9559	21910	0.0500	0.7500
lstm1	forget	0.3997	0.2131	10.8649	0.9559	25110	0.0500	0.7500
lstm1	forget	0.3996	0.1852	9.5266	0.9559	15510	0.0500	0.7500
lstm1	output	0.3995	0.0696	15.4314	0.9559	15010	0.0500	0.7500
lstm1	output	0.3995	0.1964	10.6096	0.9559	15110	0.0500	0.7500
lstm1	forget	0.3995	0.1966	11.4160	0.9559	33210	0.0500	0.7500
