layer	p	coverage	cumulative_entropy	accuracy	precision	recall	num_steps	lr	momentum
conv2	0.2240	0.1693	40.7645	0.9929	0.9929	0.9928	8910	0.0100	0.9000
conv1	0.2276	0.2944	41.6572	0.9928	0.9927	0.9928	13010	0.0100	0.9000
none	0.0000	0.0000	41.6636	0.9928	0.9928	0.9927	76010	0.0100	0.9000
conv1	0.2242	0.1781	38.9579	0.9926	0.9926	0.9925	7110	0.0100	0.9000
conv2	0.1451	0.1996	41.1338	0.9926	0.9925	0.9925	6610	0.0100	0.9000
none	0.0000	0.0000	41.6200	0.9926	0.9925	0.9925	3310	0.0100	0.9000
conv2	0.2358	0.3465	39.0976	0.9925	0.9924	0.9924	7510	0.0100	0.9000
conv1	0.2127	0.0541	37.2641	0.9925	0.9925	0.9924	13710	0.0100	0.9000
conv2	0.1759	0.0491	40.4794	0.9925	0.9924	0.9924	14210	0.0100	0.9000
conv2	0.1306	0.1766	41.3172	0.9925	0.9924	0.9924	15010	0.0100	0.9000
conv2	0.0569	0.0880	38.9464	0.9925	0.9924	0.9924	19510	0.0100	0.9000
fc1	0.0532	0.0755	41.7789	0.9925	0.9926	0.9924	21710	0.0100	0.9000
none	0.0000	0.0000	41.3630	0.9925	0.9924	0.9924	4710	0.0100	0.9000
fc1	0.0530	0.1298	41.3523	0.9924	0.9923	0.9923	5510	0.0100	0.9000
none	0.0000	0.0000	41.4680	0.9923	0.9922	0.9922	5910	0.0100	0.9000
conv2	0.3238	0.1610	38.3327	0.9922	0.9921	0.9921	9010	0.0100	0.9000
conv1	0.2220	0.0645	41.9575	0.9922	0.9922	0.9922	18010	0.0100	0.9000
conv2	0.2046	0.1682	39.2170	0.9922	0.9921	0.9921	6710	0.0100	0.9000
conv2	0.1228	0.1648	39.3131	0.9922	0.9922	0.9921	11910	0.0100	0.9000
conv2	0.1129	0.1644	41.2686	0.9922	0.9922	0.9921	6210	0.0100	0.9000
