layer	p	coverage	cumulative_entropy	accuracy	precision	recall	num_steps	lr	momentum
fc	0.0619	0.0622	50.6394	0.9911	0.9911	0.9910	30410	0.0500	0.7500
fc	0.0502	0.0637	49.3119	0.9906	0.9906	0.9905	31210	0.0500	0.7500
fc	0.0715	0.0856	50.5691	0.9903	0.9904	0.9902	42310	0.0500	0.7500
fc	0.0602	0.0592	50.2286	0.9903	0.9903	0.9902	19410	0.0500	0.7500
fc	0.0554	0.2163	49.3815	0.9903	0.9903	0.9902	33710	0.0500	0.7500
fc	0.0708	0.1028	50.6567	0.9899	0.9899	0.9898	19910	0.0500	0.7500
fc	0.0562	0.0574	49.9662	0.9899	0.9899	0.9898	15510	0.0500	0.7500
fc	0.0581	0.0353	50.1199	0.9898	0.9898	0.9897	24610	0.0500	0.7500
fc	0.0613	0.0722	49.7408	0.9896	0.9896	0.9895	52110	0.0500	0.7500
fc	0.0794	0.0715	49.9228	0.9895	0.9895	0.9894	84210	0.0500	0.7500
fc	0.0637	0.0358	49.9930	0.9895	0.9895	0.9894	18910	0.0500	0.7500
fc	0.0621	0.0485	49.8347	0.9895	0.9896	0.9893	18010	0.0500	0.7500
fc	0.0618	0.0822	50.4408	0.9895	0.9897	0.9894	25810	0.0500	0.7500
fc	0.0549	0.1157	50.5571	0.9895	0.9896	0.9894	28110	0.0500	0.7500
fc	0.0544	0.0611	50.8823	0.9895	0.9894	0.9894	15010	0.0500	0.7500
fc	0.0680	0.0715	50.9946	0.9894	0.9894	0.9893	20810	0.0500	0.7500
fc	0.0618	0.0624	49.8899	0.9893	0.9893	0.9893	16310	0.0500	0.7500
fc	0.0541	0.0747	49.6675	0.9893	0.9895	0.9891	23810	0.0500	0.7500
fc	0.0504	0.0798	49.7891	0.9893	0.9894	0.9892	33110	0.0500	0.7500
fc	0.0501	0.0608	49.5661	0.9893	0.9893	0.9892	28810	0.0500	0.7500
