layer	layer_modifier	p	coverage	cumulative_entropy	mse	mae	num_steps	lr	momentum
lstm	cell	0.2840	0.2786	22.4749	26.9511	6.5895	31810	0.0500	0.7500
lstm	output	0.2204	0.3405	23.8007	28.1400	6.6628	29410	0.0500	0.7500
lstm	cell	0.1927	0.2616	23.5469	29.0251	6.8690	28710	0.0500	0.7500
lstm	cell	0.3046	0.2525	23.3344	29.6941	6.8970	24310	0.0500	0.7500
lstm	output	0.3275	0.2630	20.9819	29.9418	7.0341	15410	0.0500	0.7500
lstm	forget	0.1707	0.2571	24.7255	30.4820	6.9686	34110	0.0500	0.7500
lstm	forget	0.1304	0.2477	22.5456	30.5194	6.6977	54510	0.0500	0.7500
lstm	cell	0.2054	0.2962	23.2526	30.5870	7.0546	16810	0.0500	0.7500
lstm	cell	0.1875	0.3421	23.3088	30.5886	6.9028	38110	0.0500	0.7500
lstm	cell	0.1384	0.2421	21.4212	30.7110	7.1141	44510	0.0500	0.7500
lstm	forget	0.1457	0.2421	22.7526	30.8215	6.7086	35010	0.0500	0.7500
lstm	cell	0.2751	0.3005	23.7170	30.8952	7.1258	16210	0.0500	0.7500
lstm	cell	0.0605	0.2468	24.6760	30.9536	6.8883	28410	0.0500	0.7500
lstm	cell	0.2831	0.3169	22.3436	31.0342	7.0397	20610	0.0500	0.7500
lstm	output	0.1774	0.2345	23.5159	31.0469	7.0709	42910	0.0500	0.7500
lstm	cell	0.2153	0.3013	24.0732	31.0590	7.0006	22410	0.0500	0.7500
lstm	output	0.3064	0.2869	23.2617	31.1573	7.0740	18710	0.0500	0.7500
lstm	forget	0.2283	0.3042	23.3194	31.1857	6.9639	43810	0.0500	0.7500
lstm	cell	0.2060	0.2280	23.7798	31.2951	6.9054	20310	0.0500	0.7500
lstm	forget	0.0571	0.2629	24.8242	31.2967	7.0086	18010	0.0500	0.7500
