layer	layer_modifier	p	coverage	cumulative_entropy	mse	mae	num_steps	lr	momentum
lstm2	output	0.0629	0.0319	20.0279	25.7896	6.4726	53210	0.0500	0.7500
lstm2	output	0.0560	0.0856	28.5396	26.1099	6.5416	15310	0.0500	0.7500
lstm2	output	0.0771	0.1225	26.6266	27.7127	6.8078	61010	0.0500	0.7500
lstm2	input	0.0610	0.0306	25.0716	28.3504	6.6521	26410	0.0500	0.7500
lstm2	input	0.0986	0.0625	16.6132	28.6204	6.7248	61510	0.0500	0.7500
lstm2	output	0.0588	0.0315	19.8408	28.7719	6.7335	55110	0.0500	0.7500
lstm2	input	0.0852	0.0560	16.8577	29.2875	7.0318	15310	0.0500	0.7500
lstm2	input	0.0647	0.0414	23.8775	29.2971	6.7169	57210	0.0500	0.7500
lstm2	input	0.0869	0.0451	16.2056	29.6093	7.1131	33210	0.0500	0.7500
lstm2	output	0.0507	0.0610	26.2142	29.7138	6.6981	22410	0.0500	0.7500
lstm2	output	0.0553	0.0846	26.5622	30.0387	6.9428	25610	0.0500	0.7500
lstm2	output	0.0789	0.0661	25.4598	30.1434	6.8293	29310	0.0500	0.7500
lstm2	input	0.0821	0.0440	25.2418	30.2672	6.9324	16110	0.0500	0.7500
lstm2	input	0.0644	0.0700	25.2978	30.3558	6.9427	20810	0.0500	0.7500
lstm2	cell	0.0790	0.0478	18.3501	30.3738	6.9321	15010	0.0500	0.7500
lstm2	output	0.0676	0.1086	23.7712	30.4718	6.9623	37610	0.0500	0.7500
lstm2	input	0.0709	0.1374	22.5696	30.4910	6.8907	15310	0.0500	0.7500
lstm2	output	0.0624	0.0848	25.3537	30.5250	6.9992	15210	0.0500	0.7500
lstm2	output	0.0632	0.0808	24.9416	30.5292	6.8405	15210	0.0500	0.7500
lstm2	output	0.0652	0.1220	16.8409	30.5495	7.1231	37010	0.0500	0.7500
