layer	layer_modifier	p	coverage	cumulative_entropy	mse	mae	num_steps	lr	momentum
none	none	0.0000	0.0000	35.8117	0.2180	0.4051	205010	0.0500	0.7500
none	none	0.0000	0.0000	35.8514	0.2184	0.4060	25010	0.0500	0.7500
none	none	0.0000	0.0000	35.8025	0.2215	0.4125	44510	0.0500	0.7500
none	none	0.0000	0.0000	35.8522	0.2241	0.4174	16610	0.0500	0.7500
none	none	0.0000	0.0000	35.8502	0.2253	0.4231	19410	0.0500	0.7500
none	none	0.0000	0.0000	35.8498	0.2290	0.4254	17010	0.0500	0.7500
lstm2	output	0.0501	0.0514	30.8018	0.2290	0.4426	39110	0.0500	0.7500
lstm2	cell	0.0502	0.0813	29.6125	0.2292	0.4540	20510	0.0500	0.7500
lstm2	cell	0.0501	0.0580	29.3666	0.2297	0.4454	27810	0.0500	0.7500
lstm2	cell	0.0515	0.0563	29.4100	0.2299	0.4489	18410	0.0500	0.7500
lstm2	cell	0.0503	0.0524	29.5362	0.2311	0.4465	60310	0.0500	0.7500
lstm2	output	0.0687	0.0406	30.1539	0.2319	0.4594	27710	0.0500	0.7500
lstm2	cell	0.0632	0.0561	29.7698	0.2322	0.4522	33110	0.0500	0.7500
lstm2	cell	0.0588	0.0535	29.0972	0.2322	0.4510	33610	0.0500	0.7500
lstm2	cell	0.0700	0.0302	31.1725	0.2338	0.4575	18710	0.0500	0.7500
lstm2	cell	0.0557	0.0308	29.9326	0.2340	0.4571	26710	0.0500	0.7500
lstm2	cell	0.0526	0.0598	30.2900	0.2344	0.4568	17810	0.0500	0.7500
lstm2	cell	0.0611	0.0308	30.8287	0.2346	0.4473	29710	0.0500	0.7500
lstm2	output	0.0573	0.0301	30.0681	0.2349	0.4616	22110	0.0500	0.7500
lstm2	forget	0.0546	0.0525	29.9771	0.2359	0.4618	39710	0.0500	0.7500
